,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,id,senid,name,type,date,init01,init02,m01,m02,c01,c02,c03,c04,pc01,pc02,gf01,gf02,gf03,gf04,gf05,gf06,logger1_pos1,logger1_pos2,logger2_pos1,logger2_pos2,logger3_pos1,logger3_pos2
87,87,87,87,87,87,87,87,87,87,132,HS0312,HS-3-12,HS,2020-01-01 1:00,5261.1,0.0,2279.147,0.0,-3.338,0.0,0.0,0.0,-3.338,0.0,0.050121,999999.0,999999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0
88,88,88,88,88,88,88,88,88,88,133,HS0313,HS-3-13,HS,2020-01-01 1:00,5311.3,0.0,2268.803,0.0,-8.246,0.0,0.0,0.0,-8.246,0.0,0.050334,999999.0,999999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0
89,89,89,89,89,89,89,89,89,89,134,HS0314,HS-3-14,HS,2020-01-01 1:00,5371.85,0.0,2318.189,0.0,0.107,0.0,0.0,0.0,0.107,0.0,0.049621,999999.0,999999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0
90,90,90,90,90,90,90,90,90,90,135,HS0302,HS-3-2,HS,2020-01-01 1:00,5328.97,0.0,2307.821,0.0,-0.145,0.0,0.0,0.0,-0.145,0.0,0.04941,999999.0,999999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0
91,91,91,91,91,91,91,91,91,91,136,HS0303,HS-3-3,HS,2020-01-01 1:00,5094.88,0.0,540.115,0.0,-241.786,0.0,0.0,0.0,-241.786,0.0,0.050339,999999.0,999999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
92,92,92,92,92,92,92,92,92,92,137,HS0304,HS-3-4,HS,2020-01-01 1:00,5073.78,0.0,2260.278,0.0,1.769,0.0,0.0,0.0,1.769,0.0,0.050442,999999.0,999999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0
93,93,93,93,93,93,93,93,93,93,138,HS0305,HS-3-5,HS,2020-01-01 1:00,5048.96,0.0,2280.164,0.0,7.692,0.0,0.0,0.0,7.692,0.0,0.051216,999999.0,999999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0
94,94,94,94,94,94,94,94,94,94,139,HS0306,HS-3-6,HS,2020-01-01 1:00,4962.72,0.0,2262.378,0.0,8.006,0.0,0.0,0.0,8.006,0.0,0.051443,999999.0,999999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0
95,95,95,95,95,95,95,95,95,95,140,HS0307,HS-3-7,HS,2020-01-01 1:00,5151.11,0.0,2214.708,0.0,-12.295,0.0,0.0,0.0,-12.295,0.0,0.049944,999999.0,999999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0
96,96,96,96,96,96,96,96,96,96,141,HS0308,HS-3-8,HS,2020-01-01 1:00,5289.76,0.0,2318.46,0.0,4.253,0.0,0.0,0.0,4.253,0.0,0.049748,999999.0,999999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
97,97,97,97,97,97,97,97,97,97,142,HS0309,HS-3-9,HS,2020-01-01 1:00,5092.12,0.0,2249.491,0.0,-1.64,0.0,0.0,0.0,-1.64,0.0,0.05138,999999.0,999999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0
98,98,98,98,98,98,98,98,98,98,143,SG0011,SC-11,SG,2020-01-01 1:00,4002.34,9.9,1987.42,-3.654,-0.515,-6.577,6.062,0.0,-0.515,-6.577,-0.07637,-0.33908,999999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,84.0
99,99,99,99,99,99,99,99,99,99,144,SG0012,SC-12,SG,2020-01-01 1:00,3903.39,9.6,1955.087,9.867,1.894,24.186,-22.292,0.0,1.894,24.186,-0.079959,-0.33689,999999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,85.0
100,100,100,100,100,100,100,100,100,100,145,SG0013,SC-13,SG,2020-01-01 1:00,3886.8,5.7,1917.035,14.943,11.675,149.09,-137.415,0.0,11.675,149.09,-0.074527,-0.315,999999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,110.0
